Tipo;Data Compra;Produto;Qtd;Valor Item;Total Pack;Forma Pagamento;Cartão;Parcelas;Data Entrega;Link Pedido / Nota Fiscal
Compra;18/03/2026;Panela Pressão Fechamento Externo Profissional 12l Nacional Alumínio Polido;1;R$ 349,00;R$ 349,00;Mastercard;**** 5538;À vista;19/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015606279106/status?orderId=2000015606279106
Compra;18/03/2026;Ralador Manual 4 Faces E Alça Aço Inox Para Legumes Queijos Frutas E Verduras Com Gourmet Cozinha,cabo Ergonômico Base... Prateado;2;R$ 50,00;R$ 25,00;Saldo ML;-;À vista;19/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012103798625/status?packId=2000012103798627&orderId=2000015608583600
Compra;19/03/2026;Placa De Homenagem Personalizada Acrílico,caixa Mdf Acrílico;2;R$ 119,80;R$ 119,80;Saldo ML;-;À vista;25/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012120206967/status?packId=2000012120206969&orderId=2000015622605554
Compra;19/03/2026;Kit Cartuchos Hp 667 Xl Preto + Xl Color 2376 2776;1;R$ 269,90;R$ 269,90;Mastercard;**** 5538;À vista;21/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015622687028/status?orderId=2000015622687028
Compra;20/03/2026;Ralador 4 Faces Tramontina Grande Inox Queijo Legumes Frutas Branco;1;R$ 76,39;R$ 76,39;Mastercard;**** 5538;À vista;20/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015630061696/status?orderId=2000015630061696
Compra;20/03/2026;Copo Térmico De Cerveja Pint Hammertone Green Capacidade De 473ml Stanley Liso;2;R$ 182,18;R$ 182,18;Saldo ML;-;À vista;24/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012137551037/status?packId=2000012137551039&orderId=2000015637630178
Compra;20/03/2026;Chuveiro Ducha Lorenzetti Loren Shower Eletrônica 5500w Cor Branco Cinza 127v 5.5 Kw;1;R$ 147,52;R$ 147,52;Mastercard;**** 5538;À vista;25/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015637644630/status?orderId=2000015637644630
Compra;20/03/2026;Bolsa Isotérmica Térmica Lancheira Marmita Sacola Para Academia Trabalho Escola E Passeios Alça Removivel Tche Amo Preto;1;R$ 27,54;R$ 27,54;Mastercard;**** 5538;À vista;23/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015637726412/status?orderId=2000015637726412
Compra;20/03/2026;Pipoqueira Elétrica Pop Cine Manteiga Vermelha Agratto Cor Vermelho 127v;1;R$ 108,00;R$ 108,00;Mastercard;**** 5538;À vista;21/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015637744976/status?orderId=2000015637744976
Compra;21/03/2026;Frigideira Antiaderente Multiflon 22cm Indução Alumínio Baquelite Preto;1;R$ 107,27;R$ 107,27;Mastercard;**** 5538;À vista;22/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015643002034/status?orderId=2000015643002034
Compra;21/03/2026;Timer Digital Magnético Relógio Led Hrebos Premium Preto Lisa;1;R$ 44,90;R$ 44,90;Mastercard;**** 5538;À vista;24/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015643784930/status?orderId=2000015643784930
Compra;25/03/2026;Mesa Dobrável 2 Metros Áreas Internas E Externas Branco (tampo) E Preto (pernas);1;R$ 694,28;R$ 694,28;Saldo ML;-;À vista;27/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012204815661/status?packId=2000012204815663&orderId=2000015695428540
Compra;25/03/2026;Mesa Dobrável 2 Metros Áreas Internas E Externas Branco (tampo) E Preto (pernas);1;R$ 694,28;R$ 694,28;Saldo ML;-;À vista;29/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012204815663/status?packId=2000012204815665&orderId=2000015695432260
Compra;25/03/2026;Chuveiro Ducha Advanced Multitemperatura - Lorenzetti Branco 127v 5500w;1;R$ 199,72;R$ 199,72;Mastercard;**** 5538;À vista;26/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015699648230/status?orderId=2000015699648230
Compra;26/03/2026;Placa Aberto Fechado Acrilico Para Porta Com Ventosa Dourado Dourado-escuro;1;R$ 32,90;R$ 32,90;Mastercard;**** 5538;À vista;27/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015716988534/status?orderId=2000015716988534
Compra;27/03/2026;5 Vela Estrelinha Palito Faísca Estrela Aniversário Festas;3;R$ 26,91;R$ 26,91;Saldo ML;-;À vista;27/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012239815083/status?packId=2000012239815085&orderId=2000015726335062
Compra;28/03/2026;Spray Jato Pulverizador Borrifador Kit 5 Unidades 500ml;1;R$ 31,40;R$ 31,40;Mastercard;**** 5538;À vista;28/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015738297060/status?orderId=2000015738297060
Compra;28/03/2026;100un Pote Redondo 500ml C/ Lacre Freezer/microondas Sem Bpa Redondo;1;R$ 173,49;R$ 173,49;Mastercard;**** 5538;À vista;01/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015739840742/status?orderId=2000015739840742
Compra;28/03/2026;Micro Ondas 20 Litros 10 Níveis De Potência Cma20bb Consul Cor Branco 127v;1;R$ 507,35;R$ 507,35;Mastercard;**** 5538;10x de R$ 50,74;30/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015739929068/status?orderId=2000015739929068
Compra;28/03/2026;Refil Coador Café Individual Filtro De Pano 10 Unidades;1;R$ 22,87;R$ 22,87;Mastercard;**** 5538;À vista;30/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015741599098/status?orderId=2000015741599098
Compra;30/03/2026;Friso Rodo Rodinho Vedador De Porta Em Aluminio 90cm;2;R$ 39,80;R$ 39,80;Saldo ML;-;À vista;02/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012279634433/status?packId=2000012279634435&orderId=2000015762612794
Compra;30/03/2026;Kit 10 Formas Fundo Removivel Falso 25cm Redonda Confeitaria Prateado;2;R$ 493,24;R$ 493,24;Saldo ML;-;À vista;01/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012279926789/status?packId=2000012279926791&orderId=2000015762869642
Compra;30/03/2026;Placa Porcionadora De Doces Brigadeiro Beijinho Mix Formas 15g Cor Branco;5;R$ 524,50;R$ 524,50;Saldo ML;-;À vista;31/03/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012280091047/status?packId=2000012280091049&orderId=2000015763018328
Compra;30/03/2026;5000 Forminhas Caixetas Branca Papel 4 Pétalas;1;R$ 299,00;R$ 299,00;Mastercard;**** 5538;À vista;02/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015763940974/status?orderId=2000015763940974
Compra;30/03/2026;Acabamento Passa Fio Mesa Computador 59mm Kit 12 Peças;1;R$ 37,90;R$ 37,90;Mastercard;**** 5538;À vista;01/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015764606572/status?orderId=2000015764606572
Compra;30/03/2026;Conjunto 3 Espatulas Silicone Pão Duro Rechear Bolos Cozinha Vermelho;3;R$ 68,70;R$ 68,70;Saldo ML;-;À vista;01/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012284032103/status?packId=2000012284032105&orderId=2000015766581070
Compra;31/03/2026;Espanador De Pó 52 Cm Cabo Penas Naturais Espanadores Para Limpeza De Casa Escritorio Sala Chrome Technology Espanador Penas;1;R$ 19,99;R$ 19,99;Mastercard;**** 5538;À vista;01/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015781967712/status?orderId=2000015781967712
Compra;31/03/2026;Refil Neutralizador Bloqueador De Odores 500 Ml Freeco;4;R$ 239,60;R$ 239,60;Saldo ML;-;À vista;01/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012301954745/status?packId=2000012301954747&orderId=2000015782860786
Compra;31/03/2026;12 Potes De Vidro Pianezza 210ml + Tampas Metálicas E Lacres;3;R$ 213,03;R$ 213,03;Saldo ML;-;À vista;03/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012303328103/status?packId=2000012303328105&orderId=2000015784110930
Compra;01/04/2026;Guardanapo Scott Grand Hotel 50 Folhas Duplas 23x21 Kit 9;5;R$ 204,50;R$ 204,50;Saldo ML;-;À vista;02/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012313748791/status?packId=2000012313748793&orderId=2000015793503812
Compra;01/04/2026;Vassoura E Rodo 2em1 Retrátil Com Cabo Extensível Limpeza 1m;1;R$ 43,84;R$ 43,84;Mastercard;**** 5538;À vista;04/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015793751150/status?orderId=2000015793751150
Compra;01/04/2026;Sikadur 32 Gel - Lata 1kg - Compound Gel Da Sika;1;R$ 129,90;R$ 129,90;Mastercard;**** 5538;À vista;04/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015796534238/status?orderId=2000015796534238
Compra;01/04/2026;Rolo Acetato Lateral De Bolo/torta 7cm X 200m - Melhor Preço;2;R$ 296,98;R$ 296,98;Saldo ML;-;À vista;04/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012317992887/status?packId=2000012317992889&orderId=2000015797343502
📦 PACK 01;04/04/2026;2 pedidos | 2 itens;;;R$ 113,05;Saldo ML;-;À vista;;https://myaccount.mercadolivre.com.br/my_purchases/2000012354012281/status?packId=2000012354012283&orderId=2000015832051906
 └ Item;04/04/2026;Termo Termolar Magic Pump 1l Branco;1;R$ 54,15;R$ 54,15;Saldo ML;-;À vista;04/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012354012281/status?packId=2000012354012283&orderId=2000015832051906
 └ Item;04/04/2026;Garrafa Térmica Termolar Magic Pump 1l Preta Preto;1;R$ 58,90;R$ 58,90;Saldo ML;-;À vista;04/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012354012281/status?packId=2000012354012283&orderId=2000015832051908
Compra;04/04/2026;Conjunto 12 Taças De Vidro Vinho Tinto Windsor 250ml Nadir Transparente;1;R$ 108,90;R$ 108,90;Mastercard;**** 5538;À vista;08/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000015835288816/status?orderId=2000015835288816
Compra;06/04/2026;Fone De Ouvido Bluetooth Sem Fio Bateria De Longa Duração Pro 4 Branco Conecta Rápido Fast Plug;2;R$ 48,48;R$ 48,48;Saldo ML;-;À vista;07/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012382647469/status?packId=2000012382647471&orderId=2000015859666420
Compra;06/04/2026;Caixa De Som Bluetooth 5.0 Portátil 10w Rms Com Rádio Fm E Entrada Usb Preta Preto 5v;2;R$ 67,88;R$ 67,88;Saldo ML;-;À vista;07/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012382814785/status?packId=2000012382814787&orderId=2000015859821766
Compra;06/04/2026;Espátula Rita Lobo Multiuso Em Inox Para Cozinha E Alimentos;3;R$ 71,04;R$ 71,04;Saldo ML;-;À vista;07/04/2026;https://myaccount.mercadolivre.com.br/my_purchases/2000012383591947/status?packId=2000012383591949&orderId=2000015860567482
